2025-04-24T22:59:41
Configurations(Methods):
Name,Touch Interfaces
config01,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
65535,909,100,11483,11459,11487,11435,11491
65535,909,100,11493,11468,11483,11452,11504
65535,909,100,11495,11463,11466,11465,11489
65535,909,100,11500,11466,11476,11465,11506
65535,909,100,11494,11466,11481,11449,11511
65535,909,100,11489,11467,11462,11438,11499
65535,909,100,11489,11461,11443,11444,11516
65535,909,100,11495,11456,11456,11428,11525
65535,909,100,11478,11506,11459,11417,11535
65535,909,100,11461,11488,11447,11431,11529
65535,909,100,11457,11486,11443,11436,11532
65535,909,100,11455,11474,11457,11450,11529
65535,909,100,11446,11465,11478,11454,11530
65535,909,100,11476,11457,11480,11471,11497
65535,909,100,11477,11466,11484,11464,11504
65535,909,100,11461,11464,11481,11456,11509
65535,909,100,11456,11469,11454,11462,11525
65535,909,100,11452,11469,11461,11463,11492
65535,909,100,11453,11461,11468,11464,11495
65535,909,100,11452,11455,11477,11447,11498
65535,909,100,11455,11461,11487,11445,11488
65535,909,100,11472,11465,11469,11422,11475
65535,909,100,11461,11459,11476,11433,11487
65535,909,100,11461,11472,11476,11441,11493
65535,909,100,11472,11458,11458,11449,11512
65535,909,100,11455,11452,11472,11421,11526
65535,909,100,11449,11458,11478,11434,11533
65535,909,100,11464,11456,11457,11416,11532
65535,909,100,11458,11456,11429,11427,11529
65535,909,100,11466,11457,11417,11452,11531
65535,909,100,11471,11464,11442,11460,11529
65535,909,100,11459,11462,11462,11450,11531
65535,909,100,11472,11460,11468,11435,11526
65535,909,100,11469,11463,11466,11425,11528
65535,909,100,11455,11459,11442,11431,11533
65535,909,100,11466,11450,11460,11444,11517
65535,909,100,11456,11498,11461,11424,11510
65535,909,100,11463,11499,11475,11438,11526
65535,909,100,11444,11483,11459,11410,11524
65535,909,100,11449,11476,11472,11400,11526
65535,909,100,11440,11472,11478,11404,11526
65535,909,100,11472,11526,11484,11405,11530
65535,909,100,11473,11518,11483,11392,11509
65535,909,100,11473,11506,11490,11389,11523
65535,909,100,11463,11499,11467,11412,11526
65535,909,100,11468,11484,11490,11436,11532
65535,909,100,11454,11486,11496,11421,11533
65535,909,100,11452,11482,11505,11431,11532
65535,909,100,11474,11481,11512,11442,11553
65535,909,100,11489,11478,11506,11463,11545
65535,909,100,11496,11475,11514,11453,11551
65535,909,100,11514,11481,11507,11447,11553
65535,909,100,11494,11480,11484,11459,11557
65535,909,100,11483,11521,11493,11470,11556
65535,909,100,11489,11508,11499,11471,11560
65535,909,100,11481,11507,11509,11478,11563
65535,909,100,11494,11508,11484,11488,11557
65535,909,100,11482,11501,11469,11489,11558
65535,909,100,11476,11492,11458,11463,11553
65535,909,100,11474,11479,11454,11473,11556
65535,909,100,11479,11461,11455,11451,11535
65535,909,100,11483,11471,11446,11448,11552
65535,909,100,11477,11475,11463,11454,11557
65535,909,100,11490,11476,11477,11452,11522
65535,909,100,11487,11478,11478,11462,11500
65535,909,100,11493,11485,11454,11447,11510
65535,909,100,11481,11485,11443,11456,11528
65535,909,100,11485,11484,11461,11468,11508
65535,909,100,11493,11484,11460,11453,11526
65535,909,100,11483,11478,11475,11468,11502
65535,909,100,11468,11474,11485,11485,11477
65535,909,100,11482,11478,11495,11461,11500
65535,909,100,11489,11475,11507,11465,11514
65535,909,100,11477,11484,11517,11451,11525
65535,909,100,11471,11485,11520,11455,11533
65535,909,100,11490,11482,11526,11460,11509
65535,909,100,11479,11480,11528,11465,11517
65535,909,100,11464,11534,11491,11473,11531
65535,909,100,11470,11512,11505,11446,11502
65535,909,100,11472,11512,11488,11435,11511
65535,909,100,11474,11499,11467,11448,11520
65535,909,100,11487,11491,11483,11458,11533
65535,909,100,11501,11485,11490,11439,11542
65535,909,100,11493,11485,11500,11453,11555
65535,909,100,11499,11476,11499,11451,11522
65535,909,100,11504,11479,11494,11449,11496
65535,909,100,11496,11479,11506,11453,11517
65535,909,100,11488,11479,11510,11446,11532
65535,909,100,11498,11473,11507,11459,11531
65535,909,100,11508,11477,11508,11471,11533
65535,909,100,11519,11480,11484,11484,11538
65535,909,100,11510,11490,11497,11492,11545
65535,909,100,11500,11494,11468,11491,11518
65535,909,100,11495,11499,11481,11490,11537
65535,909,100,11506,11495,11492,11469,11545
65535,909,100,11500,11489,11477,11463,11554
65535,909,100,11500,11493,11493,11479,11554
65535,909,100,11496,11483,11475,11484,11556
65535,909,100,11517,11482,11478,11492,11561
65535,909,100,11525,11490,11484,11489,11558
65535,909,100,11532,11493,11457,11485,11553
65535,909,100,11530,11493,11443,11478,11549
65535,909,100,11531,11490,11463,11461,11556
65535,909,100,11541,11481,11474,11466,11555
65535,909,100,11554,11491,11459,11470,11521
65535,909,100,11558,11489,11451,11481,11494
65535,909,100,11547,11487,11460,11457,11504
65535,909,100,11532,11490,11469,11464,11522
65535,909,100,11524,11482,11479,11474,11534
65535,909,100,11516,11491,11471,11463,11546
65535,909,100,11527,11482,11489,11466,11509
65535,909,100,11514,11490,11488,11460,11513
65535,909,100,11522,11489,11497,11469,11525
65535,909,100,11517,11492,11473,11445,11546
65535,909,100,11518,11489,11473,11456,11548
65535,909,100,11526,11492,11479,11468,11546
65535,909,100,11556,11483,11474,11475,11549
65535,909,100,11542,11484,11461,11490,11547
65535,909,100,11548,11482,11446,11462,11547
65535,909,100,11553,11484,11434,11474,11520
65535,909,100,11561,11486,11426,11456,11533
65535,909,100,11547,11493,11425,11465,11532
65535,909,100,11535,11496,11447,11483,11531
