2025-04-24T22:45:21
Configurations(Methods):
Name,Touch Interfaces
config01,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
65535,909,100,11472,11479,11457,11475,11544
65535,909,100,11475,11484,11478,11486,11543
65535,909,100,11488,11491,11481,11491,11533
65535,909,100,11489,11487,11462,11464,11495
65535,909,100,11498,11479,11476,11438,11513
65535,909,100,11489,11476,11455,11447,11520
65535,909,100,11499,11480,11471,11469,11526
65535,909,100,11495,11471,11478,11474,11502
65535,909,100,11496,11468,11458,11475,11513
65535,909,100,11489,11471,11462,11472,11522
65535,909,100,11487,11471,11482,11477,11533
65535,909,100,11489,11479,11490,11487,11534
65535,909,100,11484,11467,11488,11487,11525
65535,909,100,11492,11467,11461,11484,11522
65535,909,100,11485,11514,11447,11491,11520
65535,909,100,11496,11499,11469,11493,11521
65535,909,100,11499,11494,11464,11460,11517
65535,909,100,11492,11485,11444,11456,11525
65535,909,100,11478,11476,11457,11455,11523
65535,909,100,11477,11475,11474,11456,11484
65535,909,100,11492,11474,11477,11453,11493
65535,909,100,11496,11466,11480,11432,11504
65535,909,100,11479,11469,11496,11443,11511
65535,909,100,11474,11475,11498,11443,11524
65535,909,100,11487,11519,11501,11418,11528
65535,909,100,11489,11511,11503,11436,11533
65535,909,100,11471,11499,11471,11444,11539
65535,909,100,11471,11488,11447,11443,11538
65535,909,100,11470,11478,11462,11441,11507
65535,909,100,11481,11474,11471,11440,11519
65535,909,100,11481,11474,11480,11423,11535
65535,909,100,11478,11476,11502,11419,11532
65535,909,100,11480,11482,11511,11427,11545
65535,909,100,11479,11482,11507,11419,11547
65535,909,100,11490,11486,11486,11431,11556
65535,909,100,11491,11483,11476,11422,11532
65535,909,100,11496,11482,11495,11438,11540
65535,909,100,11500,11479,11505,11426,11550
65535,909,100,11481,11480,11494,11438,11513
65535,909,100,11490,11480,11501,11422,11525
65535,909,100,11500,11479,11471,11433,11530
65535,909,100,11483,11474,11473,11444,11503
65535,909,100,11475,11473,11480,11451,11503
65535,909,100,11483,11483,11487,11465,11483
65535,909,100,11493,11479,11473,11467,11472
65535,909,100,11483,11483,11488,11477,11495
65535,909,100,11470,11485,11493,11471,11511
65535,909,100,11484,11490,11468,11482,11481
65535,909,100,11489,11483,11464,11479,11494
65535,909,100,11499,11482,11480,11471,11506
65535,909,100,11485,11476,11495,11460,11487
65535,909,100,11465,11479,11471,11468,11488
65535,909,100,11460,11473,11489,11472,11474
65535,909,100,11471,11459,11492,11476,11491
65535,909,100,11466,11458,11467,11477,11509
65535,909,100,11475,11458,11481,11457,11523
65535,909,100,11492,11459,11463,11475,11525
65535,909,100,11477,11470,11448,11447,11524
65535,909,100,11489,11468,11438,11454,11525
65535,909,100,11480,11475,11450,11437,11519
65535,909,100,11483,11473,11466,11426,11524
65535,909,100,11470,11480,11457,11422,11536
65535,909,100,11475,11483,11466,11431,11526
65535,909,100,11484,11482,11463,11453,11542
65535,909,100,11492,11487,11490,11439,11525
65535,909,100,11496,11481,11502,11427,11506
65535,909,100,11480,11481,11516,11428,11505
65535,909,100,11470,11490,11486,11438,11510
65535,909,100,11483,11490,11484,11450,11524
65535,909,100,11493,11489,11483,11450,11533
65535,909,100,11509,11476,11484,11450,11494
65535,909,100,11509,11469,11492,11457,11504
65535,909,100,11502,11478,11479,11439,11509
65535,909,100,11491,11485,11478,11444,11518
65535,909,100,11485,11484,11489,11457,11529
65535,909,100,11490,11484,11494,11439,11545
65535,909,100,11483,11491,11507,11451,11523
65535,909,100,11495,11496,11517,11473,11531
65535,909,100,11496,11497,11517,11472,11539
65535,909,100,11487,11495,11497,11476,11514
65535,909,100,11493,11549,11482,11486,11524
65535,909,100,11509,11523,11474,11489,11512
65535,909,100,11493,11520,11468,11495,11494
65535,909,100,11502,11512,11490,11471,11479
65535,909,100,11515,11492,11503,11485,11493
65535,909,100,11515,11483,11503,11471,11503
65535,909,100,11503,11485,11504,11457,11519
65535,909,100,11511,11502,11482,11463,11524
65535,909,100,11518,11495,11470,11452,11541
65535,909,100,11526,11492,11493,11456,11548
65535,909,100,11546,11494,11512,11442,11552
65535,909,100,11536,11499,11517,11452,11552
65535,909,100,11535,11495,11496,11459,11547
65535,909,100,11525,11497,11501,11471,11554
65535,909,100,11537,11498,11483,11462,11555
65535,909,100,11553,11501,11483,11455,11554
65535,909,100,11545,11493,11495,11441,11559
65535,909,100,11539,11491,11496,11459,11551
65535,909,100,11541,11489,11502,11454,11551
65535,909,100,11569,11539,11506,11474,11523
65535,909,100,11596,11526,11506,11473,11503
65535,909,100,11612,11522,11514,11484,11511
65535,909,100,11635,11510,11521,11464,11530
65535,909,100,11630,11504,11495,11456,11503
65535,909,100,11634,11502,11472,11437,11511
65535,909,100,11645,11490,11485,11453,11518
65535,909,100,11649,11489,11494,11434,11530
65535,909,100,11665,11500,11506,11470,11532
65535,909,100,11671,11500,11478,11477,11538
65535,909,100,11681,11488,11496,11459,11542
65535,909,100,11728,11492,11509,11468,11524
65535,909,100,11771,11496,11519,11456,11536
65535,909,100,11833,11494,11502,11468,11553
65535,909,100,11935,11506,11508,11481,11557
1,909,100,12114,11510,11500,11477,11524
1,909,100,12191,11516,11506,11463,11537
0,909,100,12257,11524,11484,11475,11549
0,909,100,12334,11525,11497,11487,11526
0,909,100,12389,11534,11475,11499,11547
0,909,100,12429,11531,11502,11505,11557
1,909,100,12460,11521,11506,11485,11577
1,909,100,12494,11523,11513,11491,11582
1,909,100,12536,11516,11511,11502,11576
1,909,100,12597,11517,11523,11497,11584
1,909,100,12635,11529,11504,11480,11589
1,909,100,12693,11523,11489,11495,11593
1,909,100,12721,11524,11506,11480,11591
1,909,100,12755,11532,11517,11482,11583
0,909,100,12797,11540,11495,11467,11573
0,909,100,12856,11544,11485,11482,11576
0,909,100,12901,11592,11498,11464,11547
0,909,100,12939,11590,11503,11453,11552
0,909,100,12969,11589,11514,11466,11564
0,909,100,12995,11575,11496,11482,11568
0,909,100,13005,11637,11504,11492,11568
0,909,100,13026,11621,11515,11483,11575
0,909,100,13021,11614,11528,11487,11575
0,909,100,13043,11607,11528,11493,11568
0,909,100,13056,11604,11538,11487,11568
0,909,100,13072,11593,11506,11492,11569
0,909,100,13075,11651,11520,11502,11541
0,909,100,13068,11640,11498,11512,11552
0,909,100,13093,11638,11512,11509,11561
0,909,100,13085,11624,11495,11518,11579
0,909,100,13084,11626,11484,11499,11580
0,909,100,13099,11619,11506,11495,11577
0,909,100,13114,11625,11523,11498,11586
0,909,100,13123,11625,11508,11504,11597
0,909,100,13101,11623,11516,11485,11588
1,909,100,13100,11680,11491,11497,11580
1,909,100,13093,11669,11480,11473,11575
0,909,100,13074,11663,11495,11470,11534
0,909,100,13063,11657,11501,11458,11542
0,909,100,13055,11652,11510,11478,11545
0,909,100,13068,11648,11516,11493,11558
0,909,100,13057,11663,11527,11502,11557
0,909,100,13041,11675,11537,11506,11532
