config01:Slider00:Status,Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
65535,909,100,11444,11465,11433,11397,11397
65535,909,100,11457,11467,11438,11388,11406
65535,909,100,11450,11464,11442,11401,11398
65535,909,100,11439,11464,11455,11416,11394
65535,909,100,11450,11458,11469,11398,11374
65535,909,100,11459,11454,11443,11415,11339
65535,909,100,11443,11450,11443,11400,11339
65535,909,100,11452,11458,11459,11394,11355
65535,909,100,11450,11458,11467,11383,11364
65535,909,100,11446,11456,11462,11405,11366
65535,909,100,11457,11461,11465,11410,11360
65535,909,100,11463,11457,11458,11423,11361
65535,909,100,11465,11465,11455,11436,11370
65535,909,100,11472,11498,11452,11450,11378
65535,909,100,11472,11491,11440,11450,11379
65535,909,100,11475,11478,11423,11425,11342
65535,909,100,11473,11475,11442,11429,11326
65535,909,100,11469,11469,11450,11446,11346
65535,909,100,11457,11454,11460,11447,11358
65535,909,100,11446,11450,11465,11453,11362
65535,909,100,11453,11448,11471,11462,11356
65535,909,100,11458,11441,11465,11446,11357
65535,909,100,11465,11442,11445,11415,11363
65535,909,100,11472,11453,11455,11428,11334
65535,909,100,11466,11449,11436,11441,11344
65535,909,100,11465,11455,11415,11421,11360
65535,909,100,11462,11458,11440,11440,11369
65535,909,100,11457,11454,11431,11437,11374
65535,909,100,11467,11447,11431,11436,11389
65535,909,100,11476,11448,11416,11448,11359
65535,909,100,11455,11455,11437,11459,11362
65535,909,100,11459,11440,11448,11430,11363
65535,909,100,11458,11445,11441,11411,11364
65535,909,100,11466,11443,11445,11439,11374
65535,909,100,11447,11439,11434,11419,11346
65535,909,100,11455,11439,11414,11430,11349
65535,909,100,11449,11445,11442,11433,11355
65535,909,100,11448,11446,11432,11414,11369
65535,909,100,11442,11442,11444,11395,11343
65535,909,100,11434,11442,11455,11390,11319
65535,909,100,11438,11430,11453,11376,11326
65535,909,100,11434,11427,11464,11382,11335
65535,909,100,11424,11429,11456,11373,11332
65535,909,100,11447,11437,11462,11397,11312
65535,909,100,11438,11444,11463,11378,11332
65535,909,100,11437,11446,11446,11394,11344
65535,909,100,11449,11445,11454,11392,11354
65535,909,100,11465,11446,11463,11414,11334
65535,909,100,11460,11447,11469,11429,11344
65535,909,100,11469,11450,11479,11438,11348
65535,909,100,11458,11441,11479,11459,11357
65535,909,100,11466,11454,11452,11447,11380
65535,909,100,11473,11459,11450,11436,11382
65535,909,100,11473,11468,11436,11444,11382
65535,909,100,11472,11468,11442,11452,11377
65535,909,100,11463,11458,11446,11431,11376
65535,909,100,11459,11511,11456,11412,11356
65535,909,100,11454,11491,11460,11430,11343
65535,909,100,11472,11472,11466,11422,11359
65535,909,100,11479,11462,11474,11442,11376
65535,909,100,11484,11457,11450,11441,11381
65535,909,100,11467,11453,11432,11416,11382
65535,909,100,11464,11448,11425,11420,11391
65535,909,100,11451,11449,11445,11438,11391
65535,909,100,11439,11441,11453,11447,11389
65535,909,100,11446,11446,11432,11429,11387
65535,909,100,11439,11441,11426,11396,11394
65535,909,100,11435,11450,11420,11407,11397
65535,909,100,11429,11450,11439,11392,11361
65535,909,100,11441,11453,11430,11384,11373
65535,909,100,11435,11455,11420,11369,11368
65535,909,100,11442,11448,11433,11397,11352
65535,909,100,11436,11450,11441,11403,11359
65535,909,100,11434,11450,11429,11420,11361
65535,909,100,11435,11453,11448,11439,11371
